國字,注音,部首,型近字,同音國字,相似音國字,用詞
癖,ㄆㄧˇ,疒,避;壁;臂;譬;闢;璧;僻;霹;劈;擘,否;匹;痞;圮,披;屁;比;痞;霹;辟;皮;裨;副;啤;被;劈;圮;砒;罷;匹;媲;埤;丕;僻;批;紕;陂;闢;枇;脾;琵;譬;否;疲,潔癖;癖好
懵,ㄇㄥˊ,心,惰;憫;懊,蒙;盟;濛;朦;萌;檬;矇;氓;虻,艋;盟;矇;孟;朦;夢;萌;錳;氓;檬;蒙;虻;猛;蜢;濛,懵懵懂懂
櫚,ㄌㄩˊ,木,榜;桿;樸,驢;閭,氯;慮;率;侶;驢;縷;屢;呂;閭;濾;壘;旅;婁;鋁;律;履;綠,棕櫚
癟,ㄅㄧㄝˇ,疒,瘩;瘞;痍;痂,,彆;憋;鱉;別,乾癟
藕,ㄡˇ,艸,萎;蕙;蔡,偶;嘔;耦,嘔;歐;甌;區;鷗;毆;偶;耦,蓮藕
隴,ㄌㄨㄥˇ,阜,籠;襲;寵;攏;龐;嚨;聾;朧;瓏;壟;矓;瀧;蘢,攏;壟,壟;龍;矓;窿;隆;攏;嚨;籠;聾;瓏;弄;朧,得隴望蜀
囉,ㄌㄨㄛ,口,蘿;鑼;邏;籮;儸,,裸;騾;烙;籮;邏;儸;螺;鑼;洛;酪;蘿;落;絡;駱;羅,囉嗦
囉,ㄌㄨㄛˊ,口,蘿;鑼;邏;籮;儸,羅;蘿;螺;鑼;邏;籮;騾;儸,裸;騾;烙;籮;邏;儸;螺;鑼;洛;酪;蘿;落;絡;駱;羅,哈囉
攫,ㄐㄩㄝˊ,手,撐;攤;拓,覺;決;角;絕;掘;訣;嚼;抉;爵;崛;蕨;厥;譎;蹶;噱;倔;獗,決;抉;噘;掘;厥;蹶;譎;訣;覺;獗;噱;角;嚼;蕨;絕;崛;爵;倔,攫取;攫住;攫食
躡,ㄋㄧㄝˋ,足,攝;懾;囁,孽;涅;囁;嚙;聶,聶;孽;嚙;囁;涅;捏,躡手躡腳;躡足
鱷,ㄜˋ,魚,鰍;鰭;魨,惡;餓;厄;愕;遏;扼;噩;堊;顎;萼;鄂;呃;軛,哦;婀;噩;痾;扼;額;堊;峨;惡;遏;噁;娥;蚵;萼;呃;顎;俄;厄;鵝;蛾;訛;阿;愕;鄂;軛;餓,鱷魚
忡,ㄔㄨㄥ,心,忠;沖;仲;衷;盅,充;衝;沖;憧;舂,沖;崇;舂;衝;重;充;蟲;寵;憧,憂心忡忡;怔忡
眈,ㄉㄢ,目,枕;耽;沈;忱,單;擔;丹;耽;簞,憚;啖;膽;簞;丹;誕;澹;氮;彈;蛋;耽;旦;石;撢;但;淡;撣;擔;單,虎視眈眈
撣,ㄉㄢˇ,手,戰;彈;禪;蟬;闡;憚;嬋;簞;殫,膽;撢,憚;啖;膽;簞;丹;誕;澹;氮;眈;彈;蛋;耽;旦;石;撢;但;淡;擔;單,布撣子
矢,ㄕˇ,矢,失;天,使;始;史;駛;屎;豕,世;勢;適;識;濕;柿;拭;事;屎;蝕;獅;溼;匙;氏;筮;軾;十;始;侍;時;拾;誓;失;使;釋;蝨;嗜;室;示;實;是;史;詩;什;飾;士;噬;食;屍;提;尸;豕;仕;師;石;逝;試;恃;市;施;駛;舐;視;式,矢口否認;矢志
夸,ㄎㄨㄚ,大,污;雩,,胯;垮;跨,夸夸其談
忖,ㄘㄨㄣˇ,心,討;村;守;付;耐;辱;肘;紂;吋,,存;皴;村;吋;寸,自忖;思忖;暗忖;忖度
坍,ㄊㄢ,土,彤,貪;攤;灘;癱,灘;罈;碳;潭;歎;覃;毯;炭;曇;坦;澹;壇;彈;談;袒;探;攤;檀;忐;貪;譚;癱;嘆;痰,坍方;坍塌
忿,ㄈㄣˋ,心,紛;份;粉;貧;扮;氛;盆;頒;芬;盼;吩;岔;酚;坌;汾,分;份;奮;憤;糞,份;粉;分;奮;氛;焚;墳;酚;紛;芬;憤;吩;糞,忿忿不平;忿恨;氣忿
抿,ㄇㄧㄣˇ,手,眠;泯;岷,敏;憫;閩;皿;泯;閔,閔;泯;民;憫;皿;閩;敏,抿著嘴
抨,ㄆㄥ,手,評;坪;秤;砰;怦;枰;呯,澎;烹;亨;砰;怦,亨;蓬;篷;踫;烹;澎;膨;逢;彭;棚;砰;碰;鵬;硼;捧;朋;怦,抨擊
阜,ㄈㄨˋ,阜,早;卓,父;復;負;富;婦;附;付;副;複;覆;腹;賦;赴;咐;傅;駙;馥;訃,扶;夫;頫;孵;複;馥;氟;脯;幅;咐;福;付;蝠;拂;佛;腐;俯;敷;覆;弗;輻;孚;賦;府;復;縛;符;膚;釜;腹;撫;輔;副;甫;赴;彿;父;匐;芙;富;袱;傅;服;俘;芾;附;駙;浮;負;訃;伏;斧;蜉;腑;婦,物阜民豐
姥,ㄌㄠˇ,女,孝;佬;荖,老;佬;潦;荖,烙;牢;嘮;荖;老;勞;潦;落;佬;絡;撈,劉姥姥進大觀園
宦,ㄏㄨㄢˋ,宀,安;完,換;患;幻;喚;煥;瘓;奐;渙,患;喚;鬟;緩;圜;渙;幻;瘓;奐;煥;桓;環;換;還;歡;寰,宦官;宦海
恬,ㄊㄧㄢˊ,心,活;話;括;甜;刮;颳;聒,田;甜;填;闐;沺,沺;田;忝;填;天;闐;添;腆;靦;甜;舔,恬淡;恬適;恬靜
枴,ㄍㄨㄞˇ,木,拐,拐,拐;怪;乖,枴杖
苓,ㄌㄧㄥˊ,艸,領;冷;零;齡;鈴;玲;聆;伶;拎;泠;鴒;囹;翎,靈;零;齡;鈴;陵;凌;玲;聆;伶;菱;羚;泠;鴒;綾;櫺;囹;翎,凌;另;羚;菱;領;鴒;零;櫺;綾;拎;齡;靈;伶;玲;聆;泠;嶺;鈴;陵;囹;令;翎,茯苓
朔,ㄕㄨㄛˋ,月,逆,數;碩;爍;鑠,數;碩;爍;鑠;說,撲朔迷離;正朔
訕,ㄕㄢˋ,言,仙;豈;疝;舢;汕,單;善;扇;禪;擅;疝;撣;膳;鱔;鄯;汕;繕,姍;山;膳;禪;搧;跚;煽;陝;擅;閃;繕;扇;杉;潸;羶;珊;善;鱔;鄯;撣;刪;疝;舢;單;衫;汕,訕笑
釜,ㄈㄨˇ,金,爸;鑿,父;府;輔;腐;撫;俯;甫;斧;脯;腑;頫,扶;夫;頫;孵;複;馥;氟;脯;幅;咐;福;付;蝠;拂;佛;腐;俯;敷;覆;弗;輻;孚;賦;府;復;縛;符;膚;腹;撫;輔;副;甫;阜;赴;彿;父;匐;芙;富;袱;傅;服;俘;芾;附;駙;浮;負;訃;伏;斧;蜉;腑;婦,破釜沉舟;釜底抽薪
陝,ㄕㄢˇ,阜,阻;陷;陪,閃,姍;山;膳;禪;搧;跚;煽;擅;閃;繕;扇;杉;潸;羶;珊;善;鱔;鄯;撣;刪;疝;舢;單;衫;汕;訕,陝西省
啪,ㄆㄚ,口,啞;唸;吱,趴;葩,琶;耙;爬;帕;葩;扒;杷;趴;怕,劈里啪啦
啣,ㄒㄧㄢˊ,口,御,閒;賢;嫌;弦;銜;鹹;嫻;咸;絃;閑;涎,嫻;羨;洗;賢;餡;閒;咸;陷;獻;閑;鹹;絃;縣;嫌;險;仙;顯;纖;限;冼;見;憲;蘚;鮮;線;峴;弦;先;腺;現;銜;涎;掀,啣著骨頭
帷,ㄨㄟˊ,巾,進;推;維;售;誰;唯;堆;稚;焦;霍;准;惟;椎;淮;崔;錐,為;維;微;圍;危;唯;違;惟;巍;韋;薇;桅;闈,尾;違;味;闈;娓;維;蔚;魏;萎;慰;喂;圍;鮪;薇;韋;未;委;崴;葦;桅;逶;緯;遺;為;畏;偽;微;位;衛;巍;猥;偉;胃;威;蝟;唯;渭;偎;餵;惟;謂;尉;危,帷幕
戛,ㄐㄧㄚˊ,戈,夏,夾;頰;蛺;袷,葭;價;迦;嫁;夏;蛺;佳;珈;稼;駕;家;加;傢;架;笳;茄;枷;嘉;鉀;賈;痂;岬;頰;甲;袷;胛;夾;伽;假;舺,戛然而止
淅,ㄒㄧ,水,晰;蜥;皙,西;希;吸;析;溪;稀;悉;攜;犧;棲;膝;嘻;犀;晰;蜥;釐;熙;撕;禧;蟋;曦;兮;嬉;烯;蹊;奚;皙;谿;羲;唏;熹;螅;欷;樨,蜥;洗;蓆;隰;嘻;犀;禧;吸;唏;隙;兮;棲;螅;席;錫;冼;襲;熙;膝;曦;系;奚;悉;夕;喜;璽;矽;溪;係;釐;晰;谿;細;皙;昔;希;徙;蹊;樨;熄;惜;息;汐;攜;撕;稀;熹;烯;戲;繫;析;西;嬉;羲;欷;犧;習;媳;蟋;翕,淅瀝
焊,ㄏㄢˋ,火,趕;桿;悍;銲;稈;捍,和;漢;汗;憾;撼;旱;翰;悍;瀚;銲;捍;頷,漢;汗;旱;捍;喊;函;頇;銲;涵;頷;幹;撼;鼾;憾;含;酣;韓;和;罕;瀚;憨;悍;翰;寒,焊接
皎,ㄐㄧㄠˇ,白,校;效;較;郊;咬;餃;絞;狡;蛟;跤;佼;姣;筊;鉸,角;腳;餃;繳;攪;矯;絞;狡;僥;佼;剿;姣;筊;鉸,澆;校;蛟;較;轎;腳;繳;絞;跤;覺;膠;餃;剿;僥;姣;矯;交;叫;筊;狡;醮;窖;鉸;嬌;嚼;焦;角;郊;蕉;礁;驕;教;佼;椒;攪,皎潔
脯,ㄈㄨˇ,肉,補;輔;捕;鋪;埔;浦;哺;圃;匍;逋,父;府;輔;腐;撫;俯;甫;斧;釜;腑;頫,扶;夫;頫;孵;複;馥;氟;幅;咐;福;付;蝠;拂;佛;腐;俯;敷;覆;弗;輻;孚;賦;府;復;縛;符;膚;釜;腹;撫;輔;副;甫;阜;赴;彿;父;匐;芙;富;袱;傅;服;俘;芾;附;駙;浮;負;訃;伏;斧;蜉;腑;婦,肉脯
脯,ㄆㄨˊ,肉,補;輔;捕;鋪;埔;浦;哺;圃;匍;逋,葡;樸;菩;僕;蒲;璞;匍;朴,僕;浦;噗;葡;仆;樸;璞;埔;菩;暴;圃;蒲;鋪;普;匍;朴;瀑;撲;曝;譜,胸脯;拍胸脯
酗,ㄒㄩˋ,酉,兇;匈,續;緒;序;蓄;敘;畜;絮;婿;旭;恤;卹;洫,敘;煦;許;虛;鬚;吁;噓;畜;婿;卹;胥;洫;恤;墟;旭;緒;絮;咻;序;續;徐;須;栩;詡;蓄;需,酗酒
啻,ㄔˋ,口,蒂;締;啼;蹄;諦,赤;翅;斥;熾;叱;敕;飭,馳;吃;池;痴;踟;嗤;敕;飭;齒;尺;匙;弛;赤;熾;斥;遲;喫;笞;鴟;褫;侈;呎;翅;持;叱;恥;哧;蚩,不啻
啾,ㄐㄧㄡ,口,愁;揪;鰍;鞦;瞅;愀;鍬,糾;赳;揪;鳩,赳;韭;救;舊;久;鷲;柩;九;揪;糾;酒;咎;臼;灸;疚;舅;廄;鳩;究;就,唧唧啾啾
渭,ㄨㄟˋ,水,謂;喟;蝟,為;位;未;味;衛;遺;謂;慰;胃;餵;畏;偽;魏;蔚;喂;尉;蝟,尾;違;味;闈;娓;維;蔚;魏;萎;慰;喂;圍;鮪;薇;韋;未;委;崴;葦;桅;逶;緯;遺;為;畏;偽;微;位;衛;巍;帷;猥;偉;胃;威;蝟;唯;偎;餵;惟;謂;尉;危,涇渭分明;渭城
腑,ㄈㄨˇ,肉,腐;俯,父;府;輔;腐;撫;俯;甫;斧;釜;脯;頫,扶;夫;頫;孵;複;馥;氟;脯;幅;咐;福;付;蝠;拂;佛;腐;俯;敷;覆;弗;輻;孚;賦;府;復;縛;符;膚;釜;腹;撫;輔;副;甫;阜;赴;彿;父;匐;芙;富;袱;傅;服;俘;芾;附;駙;浮;負;訃;伏;斧;蜉;婦,肺腑之言;肺腑;感人肺腑;臟腑
腴,ㄩˊ,肉,萸,於;與;魚;餘;予;漁;愉;余;娛;愚;瑜;輿;于;渝;逾;隅;榆;虞;俞;揄;盂;覦;踰;臾;諛;妤;歟;雩;萸,俞;揄;隅;浴;禦;諭;萸;熨;輿;盂;踰;歟;域;豫;諛;預;於;語;噢;芋;餘;玉;虞;毓;喻;窳;嫗;瘀;慾;庾;逾;與;欲;迂;御;嶼;娛;寓;予;渝;覦;尉;譽;籲;遇;禹;瑜;魚;粥;愈;淤;郁;漁;燠;榆;余;圄;臾;裕;昱;馭;紆;聿;雩;愉;癒;妤;于;雨;宇;谷;愚;育;飫;獄;羽,豐腴;膏腴之地
貂,ㄉㄧㄠ,豸,超;招;紹;昭;沼;迢;邵;韶;詔;劭;炤,雕;凋;鯛;鵰;碉;叼;刁,鵰;鯛;調;釣;鳥;掉;碉;叼;雕;吊;凋;弔;刁,狗尾續貂
鈣,ㄍㄞˋ,金,鑽;釘;鑑,概;蓋;溉;丐,該;丐;概;蓋;改;溉,鈣質
陲,ㄔㄨㄟˊ,阜,睡;郵;唾;錘;捶,垂;槌;錘;搥;鎚;捶,吹;捶;錘;垂;鎚;炊;搥;槌,邊陲
飪,ㄖㄣˋ,食,任;妊;衽,認;任;韌;刃;仞;妊;紉;衽,紉;人;妊;任;壬;衽;稔;韌;忍;仞;認;仁;刃,烹飪
嗡,ㄨㄥ,口,鶲,翁;鶲,鶲;甕;翁,小蜜蜂，嗡嗡嗡
楠,ㄋㄢˊ,木,喃;湳,難;南;男;喃,赧;喃;難;南;湳;男;囡,楠梓區
痲,ㄇㄚˊ,疒,瘧;疹;瘤,麼;嘛;蟆,媽;螞;嗎;嬤;麼;罵;嘛;碼;馬;蟆;瑪,痲疹;痲痺
綑,ㄎㄨㄣˇ,糸,捆;睏,捆,混;困;崑;睏;坤;錕;捆;昆;焜,綑綁
虜,ㄌㄨˇ,虍,虐;虔;虞;,魯;滷;擄;鹵,轆;顱;擄;露;滷;鱸;魯;鷺;盧;錄;麓;嚕;鹵;臚;廬;爐;漉;碌;賂;戮;陸;六;祿;璐;蘆;路;鹿,俘虜;虜獲;韃虜
詫,ㄔㄚˋ,言,試;談;課,剎;岔;荖,剎;搽;荖;差;插;叉;查;察;岔;茶,詫異;驚詫
賃,ㄌㄧㄣˋ,貝,資;質;費,藺;吝;躪,磷;藺;吝;霖;遴;嶙;林;淋;鱗;琳;稟;臨;粼;廩;鄰;躪;凜;麟,租賃
辟,ㄅㄧˋ,辛,辦;辭;辯,比;必;畢;避;幣;壁;祕;閉;碧;秘;臂;弊;泌;璧;蔽;拂;斃;庇;敝;痺;嗶;睥;陛;弼;裨;婢;鉍;篦;賁;蹕;髀;埤;愎,蹕;痺;鄙;蔽;裨;逼;秘;閉;拂;睥;筆;斃;柀;匕;埤;弊;庇;婢;嗶;臂;敝;鼻;祕;比;愎;壁;鉍;碧;幣;陛;必;畢;篦;賁;彼;泌;璧;避;弼;髀,復辟;辟邪
鄒,ㄗㄡ,邑,趨;雛;皺;縐;謅,,驟;走;揍;奏,鄒魯
鉗,ㄑㄧㄢˊ,金,某;酣;柑;疳;坩,前;錢;乾;潛;虔;掮;黔;箝,前;阡;掮;錢;茜;謙;遣;騫;千;倩;韆;虔;黔;塹;牽;欠;簽;縴;遷;歉;淺;鉛;愆;潛;箝;籤;譴;乾;嵌,老虎鉗;胡桃鉗;鉗制
雋,ㄐㄩㄢˋ,隹,隼;集,圈;卷;倦;眷;絹,身;捐;眷;捲;鵑;涓;倦;絹;鐫;圈;娟;卷,雋永;雋爽
雋,ㄐㄩㄣˋ,隹,隼;集,菌;峻;郡;駿;竣;濬;浚,峻;菌;囷;駿;浚;濬;均;竣;君;鈞;軍;郡,雋才;雋秀;雋譽
雉,ㄓˋ,隹,疾,知;至;治;制;質;識;製;致;智;志;置;誌;稚;遲;緻;秩;滯;炙;幟;窒;摯;峙;忮;痔;桎;鋕;痣;躓,旨;侄;咫;擲;摭;識;幟;趾;指;酯;桎;志;稚;氏;忮;址;躓;質;脂;遲;置;鋕;執;炙;峙;織;之;蜘;抵;徵;制;滯;汁;值;梔;吱;治;痔;職;隻;芷;枝;窒;止;秩;只;製;肢;支;蟄;致;緻;躑;胝;智;痣;祇;芝;知;至;摯;植;紙;祉;直;姪;殖;誌,帝雉;雉雞
僥,ㄐㄧㄠˇ,人,燒;繞;曉;澆;翹;饒;撓;蹺;驍;蟯;橈,角;腳;餃;繳;攪;矯;絞;狡;皎;佼;剿;姣;筊;鉸,澆;校;蛟;較;轎;腳;繳;絞;跤;覺;膠;餃;剿;姣;矯;交;叫;筊;狡;醮;窖;鉸;嬌;嚼;焦;角;郊;蕉;皎;礁;驕;教;佼;椒;攪,僥倖
嫖,ㄆㄧㄠˊ,女,標;漂;飄;瓢;縹;鏢;瞟;驃;慓,瓢;朴,瞟;瓢;票;漂;朴;飄;驃;縹,嫖客;嫖妓;吃喝嫖賭
漱,ㄕㄨˋ,水,嗽;簌,數;術;樹;述;束;署;豎;墅;恕;曙;庶;戍;倏,輸;署;殊;蔬;鼠;書;數;述;暑;舒;蜀;樹;束;梳;荼;孰;樞;疏;倏;塾;薯;屬;紓;菽;庶;黍;贖;藷;曙;淑;恕;叔;豎;抒;術;墅;戍,漱口;漱口水
滌,ㄉㄧˊ,水,篠,的;敵;迪;笛;狄;荻;嘀;嫡,詆;荻;蒂;諦;迪;遞;笛;砥;第;的;邸;嘀;弟;嫡;底;地;睇;狄;締;柢;抵;低;敵;滴;帝,洗滌
滷,ㄌㄨˇ,水,況;港;注,魯;虜;擄;鹵,轆;顱;擄;露;鱸;魯;鷺;盧;錄;麓;嚕;鹵;臚;廬;爐;漉;碌;賂;戮;陸;虜;六;祿;璐;蘆;路;鹿,滷味;滷菜
閨,ㄍㄨㄟ,門,街;佳;封;鞋;娃;桂;蛙;哇;卦;畦;奎;鮭;珪,規;歸;瑰;傀;鮭;圭;珪;皈,珪;詭;桂;晷;傀;跪;貴;鬼;會;歸;圭;瑰;規;皈;軌;鱖;櫃;鮭;癸,大家閨秀;閨女;閨秀
韶,ㄕㄠˊ,音,超;招;紹;昭;沼;迢;邵;貂;詔;劭;炤,芍;勺;杓,捎;少;紹;召;邵;劭;哨;梢;勺;燒;稍;芍;杓,仰韶文化;韶光;韶華
餌,ㄦˇ,食,取;恥;茸;弭;珥;洱,爾;耳;珥;邇;洱,兒;二;而;耳;邇;珥;洱;爾,誘餌
嘰,ㄐㄧ,口,機;磯;譏;饑;璣,機;其;期;幾;基;奇;積;激;雞;績;跡;肌;棋;蹟;飢;磯;稽;畸;姬;几;譏;饑;箕;羈;屐;犄;乩;璣;躋;畿,即;績;棋;暨;薊;激;畿;驥;璣;籍;饑;其;忌;肌;笈;吉;既;唧;機;濟;亟;基;疾;屐;冀;寂;稽;藉;及;輯;乩;寄;蹐;季;革;擠;棘;記;覬;畸;鶺;繼;期;譏;給;躋;汲;鯽;祭;脊;岌;幾;箕;積;跡;薺;蹟;極;齊;吃;擊;際;級;犄;楫;紀;雞;奇;几;己;伎;羈;髻;妓;急;瘠;磯;計;嫉;戟;繫;劑;技;悸;姬;集;飢,嘰嘰喳喳
潦,ㄌㄧㄠˊ,水,療;瞭;僚;遼;寮;撩;嘹;繚;鐐;燎;鷯,療;聊;僚;遼;寥;寮;撩;嘹;繚;鐐;燎,寮;鐐;瞭;繚;療;寥;遼;嘹;燎;料;廖;了;僚;聊;撩,潦草;潦倒;窮途潦倒
磊,ㄌㄟˇ,石,碧,累;蕾;壘;儡,纍;鐳;儡;類;嫘;勒;蕾;擂;雷;累;壘;淚,光明磊落;磊落
諄,ㄓㄨㄣ,言,敦;郭;醇;淳;鶉,肫;屯,准;屯;肫;隼;準,諄諄教誨
噸,ㄉㄨㄣˋ,口,呻;嗚;吶,頓;盾;遁;沌;鈍;燉;囤;飩,盹;頓;敦;囤;燉;盾;蹲;沌;鈍;墩;遁;飩,公噸
曇,ㄊㄢˊ,日,暈;暮,談;彈;壇;潭;譚;檀;痰;罈;澹;覃,灘;坍;罈;碳;潭;歎;覃;毯;炭;坦;澹;壇;彈;談;袒;探;攤;檀;忐;貪;譚;癱;嘆;痰,曇花;曇花一現
樺,ㄏㄨㄚˋ,木,嘩;燁;譁,化;話;畫;華;劃,華;划;豁;劃;話;畫;猾;化;花;滑;譁;嘩,樺木
橙,ㄔㄥˊ,木,證;燈;鄧;澄;瞪;凳;蹬;鐙,成;程;城;承;盛;乘;誠;呈;澄;懲;埕;丞,稱;丞;乘;秤;程;騁;城;盛;澄;呈;懲;逞;埕;撐;承;瞠;誠;鐺;成,橙色;橙黃
濂,ㄌㄧㄢˊ,水,簾;鐮,連;聯;蓮;廉;憐;簾;漣;鐮;帘;槤,鏈;槤;簾;鍊;斂;鐮;瀲;帘;殮;臉;聯;廉;憐;漣;楝;練;蓮;煉;戀;連,花果山水濂洞
盥,ㄍㄨㄢˋ,皿,盪;盧;盞,觀;冠;慣;貫;灌;罐,莞;官;館;管;貫;關;綸;棺;灌;慣;罐;冠;觀;矜,盥洗室;盥洗
諜,ㄉㄧㄝˊ,言,葉;蝶;碟;喋;煠;牒;堞,蝶;疊;跌;碟;迭;喋;褶;瓞;牒,迭;蝶;喋;褶;疊;瓞;爹;碟;跌;牒,匪諜;間諜;保密防諜
諳,ㄢ,言,意;暗;黯;喑;瘖,安;鞍;庵;胺;氨;鵪,鵪;庵;氨;按;俺;安;案;暗;胺;岸;鞍;黯,不諳;熟諳
錡,ㄑㄧˊ,金,椅;寄;騎;倚;琦;崎;畸;犄;綺,其;期;奇;齊;旗;枝;棋;騎;歧;祈;淇;祇;琦;崎;琪;臍;畦;耆;鰭;麒;蘄;薺;祺;祁,訖;棋;崎;企;淒;磧;憩;緝;祈;豈;七;期;綺;棲;臍;氣;器;棄;耆;漆;騎;沏;鰭;萋;畦;薺;契;其;迄;齊;砌;旗;祁;蘄;戚;枝;汽;奇;歧;亟;妻;起;啟;祇;祺;稽;杞;欺;琦;淇;泣;麒;乞;琪;悽;葺,錡釜
錮,ㄍㄨˋ,金,個;涸;箇;痼,告;故;顧;固;估;雇;僱;梏,菇;估;鶻;孤;咕;菰;谷;家;穀;沽;滑;辜;固;蠱;鵠;骨;箍;股;賈;鴣;僱;罟;呱;瞽;告;故;顧;雇;古;蛄;姑;轂;梏;鼓,禁錮
鴦,ㄧㄤ,鳥,英;映;秧;盎;殃;怏;泱,央;秧;殃;泱,楊;怏;央;瘍;烊;羊;佯;養;秧;樣;泱;洋;殃;揚;煬;陽;漾;徉;氧;恙;癢;仰;颺,鴛鴦
燠,ㄩˋ,火,澳;襖;懊;噢,育;語;與;雨;預;遇;玉;域;愈;谷;欲;裕;寓;獄;浴;喻;慾;譽;籲;御;豫;禦;癒;郁;粥;芋;馭;尉;毓;諭;昱;飫;聿;嫗;熨,俞;揄;隅;浴;禦;諭;萸;熨;輿;盂;踰;歟;域;豫;諛;預;於;語;噢;芋;餘;玉;虞;毓;喻;窳;嫗;瘀;慾;庾;逾;與;欲;迂;御;嶼;娛;寓;予;渝;覦;尉;譽;籲;遇;禹;瑜;腴;魚;粥;愈;淤;郁;漁;榆;余;圄;臾;裕;昱;馭;紆;聿;雩;愉;癒;妤;于;雨;宇;谷;愚;育;飫;獄;羽,燠熱
瞳,ㄊㄨㄥˊ,目,鐘;撞;幢;憧,同;童;洞;銅;桐;酮;彤;峒,通;痛;筒;慟;洞;彤;桐;銅;同;童;峒;桶;恫;酮;統,瞳孔
褻,ㄒㄧㄝˋ,衣,熱;勢,解;謝;契;蟹;械;洩;屑;瀉;卸;懈;泄;榭;邂,卸;瀉;蟹;蠍;屑;些;謝;械;解;懈;斜;泄;鞋;榭;楔;脅;頡;寫;歇;諧;邂;協;偕;血;洩;契;邪,褻瀆;猥褻;褻衣
蹊,ㄒㄧ,足,雞;溪;谿,西;希;吸;析;溪;稀;悉;攜;犧;棲;膝;嘻;犀;晰;蜥;釐;熙;撕;禧;蟋;曦;兮;嬉;烯;淅;奚;皙;谿;羲;唏;熹;螅;欷;樨,蜥;洗;蓆;隰;嘻;犀;禧;吸;唏;隙;兮;棲;螅;席;錫;冼;襲;熙;膝;曦;系;奚;悉;夕;喜;璽;矽;溪;係;釐;晰;谿;細;皙;昔;希;徙;樨;熄;惜;息;汐;攜;撕;稀;熹;烯;戲;繫;析;西;嬉;羲;欷;犧;習;媳;蟋;翕;淅,另闢蹊徑;鼠蹊;各闢蹊徑;蹊徑;蹊蹺
躇,ㄔㄨˊ,足,踢;跪;蹲,除;廚;儲;雛;櫥;鋤;蜍;芻;滁,矗;杵;怵;畜;絀;搐;觸;除;廚;櫥;齣;鋤;雛;初;黜;蜍;楚;滁;礎;儲;芻;處;出,躊躇
孽,ㄋㄧㄝˋ,子,孳;孿,躡;涅;囁;嚙;聶,聶;嚙;囁;躡;涅;捏,冤孽;造孽;罪孽
躊,ㄔㄡˊ,足,籌;濤;禱;鑄;疇;擣;燾;儔,籌;愁;酬;仇;綢;疇;稠;惆;儔,抽;儔;綢;仇;稠;疇;吜;臭;酬;醜;愁;瞅;丑;籌;惆,躊躇
狒,ㄈㄟˋ,犬,費;佛;彿;沸;拂;氟,費;廢;肺;沸;吠;痱;芾,非;肺;菲;霏;緋;斐;肥;蜚;飛;妃;廢;沸;誹;匪;翡;悱;腓;吠;啡;扉;費;痱;芾,動物園的狒狒
枷,ㄐㄧㄚ,木,架;駕;咖;賀;茄;迦;伽;痂;珈;笳,家;加;佳;嘉;傢;茄;迦;伽;痂;珈;笳;葭,葭;價;迦;嫁;夏;蛺;戛;佳;珈;稼;駕;家;加;傢;架;笳;茄;嘉;鉀;賈;痂;岬;頰;甲;袷;胛;夾;伽;假;舺,枷鎖
喵,ㄇㄧㄠ,口,貓;描;瞄;錨,,渺;妙;繆;瞄;秒;苗;緲;藐;邈;描;眇;淼;廟,小貓喵喵叫
搥,ㄔㄨㄟˊ,手,槌;鎚,垂;槌;錘;陲;鎚;捶,陲;吹;捶;錘;垂;鎚;炊;槌,搥打
覷,ㄑㄩˋ,見,墟;噓,去;趣;闃,鴝;嶇;祛;齲;臞;屈;曲;趣;蛐;衢;趨;瞿;渠;麴;驅;區;闃;取;軀;去;娶,面面相覷
鰲,ㄠˊ,魚,傲;熬;遨;螯;贅;驁;嗷,熬;遨;螯;敖;翱;驁;嗷,遨;拗;驁;嗷;熬;傲;懊;凹;奧;澳;螯;敖;翱;襖;坳,獨占鰲頭
乒,ㄆㄧㄥ,丿,兵;岳;邱;蚯,娉,聘;憑;秤;娉;萍;評;瓶;屏;坪;平;蘋;馮;枰,乒乓球;乒乓
乓,ㄆㄤ,丿,兵;岳;邱;蚯,膀;磅;滂,磅;徬;龐;滂;彷;螃;傍;膀;胖;旁,乒乓球;乒乓
屹,ㄧˋ,山,吃;迄;疙;紇;訖;矻,意;義;易;議;食;藝;衣;異;施;益;射;憶;亦;譯;艾;疫;抑;毅;誼;翼;洩;溢;役;逸;億;曳;裔;泄;繹;奕;羿;翌;驛;懿;翳;邑;瘞;挹;軼;蜴;囈;熠;臆;佚;佾;詣;劓;噫,艾;翳;矣;毅;詣;蛇;夷;一;逸;繹;沂;意;佚;移;貽;亦;易;咦;以;劓;臆;羿;藝;噫;儀;食;溢;迤;蜴;痍;醫;遺;怡;施;胰;議;邑;翼;義;熠;懿;宜;誼;軼;佾;裔;乙;頤;譯;異;依;疑;蟻;翌;抑;蛾;瘞;飴;億;洩;倚;曳;彝;椅;漪;驛;挹;伊;姨;役;憶;泄;疫;囈;台;益;衣;揖;奕;已;咿;射,屹立;屹立不搖
戍,ㄕㄨˋ,戈,化;閃;臥;囚,數;術;樹;述;束;署;豎;墅;恕;曙;庶;漱;倏,輸;署;殊;蔬;鼠;書;數;述;暑;舒;蜀;樹;束;梳;荼;孰;樞;疏;倏;塾;薯;屬;紓;菽;庶;黍;贖;藷;曙;淑;恕;叔;豎;抒;術;漱;墅,戍守;戍衛
